PROVINSI,JENIS_TANAMAN,LUAS_PANEN(Hektar),LUAS_SAWAH(Hektar),SUHU(C),CURAH_HUJAN(mm),PRODUKSI(ton),TAHUN
JAMBI,3,1836.00,120552.00,"28,98","2 533,30",1993.00,2003
SUMATERA SELATAN,3,6503.00,512510.00,"29,64","2 674,00",7682.00,2003
BENGKULU,3,6239.00,88432.00,"29,51","3 030,40",6040.00,2003
LAMPUNG,3,10921.00,303380.00,"29,67","1 682,20",12032.00,2003
KEP. BANGKA BELITUNG,3,320.00,3186.00,"29,19","2 900,00",312.00,2003
KEP. RIAU,3,-,-,"28,88","3 972,70",-,2003
DKI JAKARTA,3,18.00,2738.00,"30,92","1 644,30",18.00,2003
JAWA BARAT,3,67022.00,934140.00,"28,73","2 200,60",90170.00,2003
JAWA TENGAH,3,147226.00,995469.00,"29,31","2 473,60",174332.00,2003
DI YOGYAKARTA,3,69803.00,57612.00,"29,87","1 834,30",57767.00,2003
JAWA TIMUR,3,165277.00,1115239.00,"29,74","2 002,20",194676.00,2003
BANTEN,3,9668.00,207530.00,"29,85","1 353,70",12256.00,2003
BALI,3,14234.00,81870.00,"29,1","2 089,60",18452.00,2003
NUSA TENGGARA BARAT,3,34039.00,226627.00,"29,66","1 876,20",40489.00,2003
NUSA TENGGARA TIMUR,3,13040.00,103341.00,"29,13","1 886,50",13637.00,2003
KALIMANTAN BARAT,3,1690.00,253316.00,"28,56","3 160,60",1854.00,2003
KALIMANTAN TENGAH,3,1833.00,156645.00,29,"3 026,20",1989.00,2003
KALIMANTAN SELATAN,3,13195.00,420086.00,"29,02","2 773,20",16455.00,2003
KALIMANTAN TIMUR,3,2355.00,92982.00,"28,85","2 293,40",2352.00,2003
KALIMANTAN UTARA,3,-,-,,,-,2003
SULAWESI UTARA,3,4363.00,64605.00,"28,67","3 470,50",4683.00,2003
SULAWESI TENGAH,3,5368.00,121670.00,"29,62","2 218,70",5924.00,2003
SULAWESI SELATAN,3,43385.00,619084.00,"28,74","3 053,90",52763.00,2003
SULAWESI TENGGARA,3,8700.00,66939.00,"28,39","2 125,10",7883.00,2003
GORONTALO,3,3344.00,27598.00,"29,09","1 816,30",3189.00,2003
SULAWESI BARAT,3,-,-,"29,37","1 870,60",-,2003
MALUKU,3,1360.00,8401.00,"28,14","2 358,60",1492.00,2003
MALUKU UTARA,3,1547.00,11867.00,"28,7","2 024,50",1748.00,2003
PAPUA BARAT,3,-,4719.00,"27,73","2 126,20",-,2003
PAPUA,3,2391.00,36021.00,"28,49","2 431,00",2170.00,2003
ACEH,4,3125.00,348232.00,"28,88","1 507,20",3728.00,2003
SUMATERA UTARA,4,11274.00,538180.00,"29,08","3 140,20",11455.00,2003
SUMATERA BARAT,4,1353.00,225369.00,"29,17","4 927,20",1531.00,2003
RIAU,4,1931.00,128225.00,"29,64","2 949,20",1945.00,2003
JAMBI,4,572.00,120552.00,"28,98","2 533,30",595.00,2003
SUMATERA SELATAN,4,2768.00,512510.00,"29,64","2 674,00",2651.00,2003
BENGKULU,4,1849.00,88432.00,"29,51","3 030,40",1722.00,2003
LAMPUNG,4,6005.00,303380.00,"29,67","1 682,20",5325.00,2003
KEP. BANGKA BELITUNG,4,-,3186.00,"29,19","2 900,00",-,2003
KEP. RIAU,4,-,-,"28,88","3 972,70",-,2003
DKI JAKARTA,4,-,2738.00,"30,92","1 644,30",-,2003
JAWA BARAT,4,11339.00,934140.00,"28,73","2 200,60",10519.00,2003
JAWA TENGAH,4,92500.00,995469.00,"29,31","2 473,60",91553.00,2003
DI YOGYAKARTA,4,876.00,57612.00,"29,87","1 834,30",563.00,2003
JAWA TIMUR,4,91174.00,1115239.00,"29,74","2 002,20",95709.00,2003
BANTEN,4,2813.00,207530.00,"29,85","1 353,70",2767.00,2003
BALI,4,1073.00,81870.00,"29,1","2 089,60",1026.00,2003
NUSA TENGGARA BARAT,4,47114.00,226627.00,"29,66","1 876,20",35406.00,2003
NUSA TENGGARA TIMUR,4,24606.00,103341.00,"29,13","1 886,50",20135.00,2003
KALIMANTAN BARAT,4,1394.00,253316.00,"28,56","3 160,60",997.00,2003
KALIMANTAN TENGAH,4,519.00,156645.00,29,"3 026,20",408.00,2003
KALIMANTAN SELATAN,4,1320.00,420086.00,"29,02","2 773,20",1486.00,2003
KALIMANTAN TIMUR,4,930.00,92982.00,"28,85","2 293,40",984.00,2003
KALIMANTAN UTARA,4,-,-,,,-,2003
SULAWESI UTARA,4,991.00,64605.00,"28,67","3 470,50",1004.00,2003
SULAWESI TENGAH,4,1915.00,121670.00,"29,62","2 218,70",1444.00,2003
SULAWESI SELATAN,4,33180.00,619084.00,"28,74","3 053,90",38608.00,2003
SULAWESI TENGGARA,4,2067.00,66939.00,"28,39","2 125,10",1463.00,2003
GORONTALO,4,680.00,27598.00,"29,09","1 816,30",745.00,2003
SULAWESI BARAT,4,-,-,"29,37","1 870,60",-,2003
MALUKU,4,224.00,8401.00,"28,14","2 358,60",227.00,2003
MALUKU UTARA,4,178.00,11867.00,"28,7","2 024,50",201.00,2003
PAPUA BARAT,4,-,4719.00,"27,73","2 126,20",-,2003
PAPUA,4,788.00,36021.00,"28,49","2 431,00",1027.00,2003
ACEH,5,6098.00,348232.00,"28,88","1 507,20",75286.00,2003
SUMATERA UTARA,5,33452.00,538180.00,"29,08","3 140,20",411990.00,2003
SUMATERA BARAT,5,10025.00,225369.00,"29,17","4 927,20",122689.00,2003
RIAU,5,4850.00,128225.00,"29,64","2 949,20",51487.00,2003
JAMBI,5,4165.00,120552.00,"28,98","2 533,30",52602.00,2003
SUMATERA SELATAN,5,13894.00,512510.00,"29,64","2 674,00",158042.00,2003
BENGKULU,5,7194.00,88432.00,"29,51","3 030,40",82945.00,2003
LAMPUNG,5,298989.00,303380.00,"29,67","1 682,20",4984616.00,2003
KEP. BANGKA BELITUNG,5,1872.00,3186.00,"29,19","2 900,00",21371.00,2003
KEP. RIAU,5,-,-,"28,88","3 972,70",-,2003
DKI JAKARTA,5,81.00,2738.00,"30,92","1 644,30",949.00,2003
JAWA BARAT,5,114853.00,934140.00,"28,73","2 200,60",1651879.00,2003
JAWA TENGAH,5,215374.00,995469.00,"29,31","2 473,60",3469795.00,2003
DI YOGYAKARTA,5,59270.00,57612.00,"29,87","1 834,30",764409.00,2003
JAWA TIMUR,5,240493.00,1115239.00,"29,74","2 002,20",3786882.00,2003
BANTEN,5,11321.00,207530.00,"29,85","1 353,70",155776.00,2003
BALI,5,11317.00,81870.00,"29,1","2 089,60",137891.00,2003
NUSA TENGGARA BARAT,5,7834.00,226627.00,"29,66","1 876,20",88568.00,2003
NUSA TENGGARA TIMUR,5,80330.00,103341.00,"29,13","1 886,50",861620.00,2003
