PROVINSI,JENIS_TANAMAN,LUAS_PANEN(Hektar),LUAS_SAWAH(Hektar),SUHU(C),CURAH_HUJAN(mm),PRODUKSI(ton),TAHUN
MALUKU,3,2618.00,11281.00,"26,6","1 920,00",3133.00,2009
MALUKU UTARA,3,2766.00,8890.00,"27,4","2 024,00",3181.00,2009
PAPUA BARAT,3,729.00,9249.00,"27,1","1 907,00",751.00,2009
PAPUA,3,2408.00,27454.00,27,"2 323,00",2464.00,2009
ACEH,4,1278.00,359751.00,"26,9","1 577,00",1341.00,2009
SUMATERA UTARA,4,4124.00,464256.00,"27,1","2 184,00",4426.00,2009
SUMATERA BARAT,4,1153.00,228176.00,"25,5","4 691,00",1346.00,2009
RIAU,4,958.00,122738.00,"27,7","3 390,00",1014.00,2009
JAMBI,4,419.00,117336.00,"27,1","2 299,00",465.00,2009
SUMATERA SELATAN,4,2338.00,611072.00,"27,4","2 389,00",3188.00,2009
BENGKULU,4,1224.00,89614.00,"26,5","3 850,00",1153.00,2009
LAMPUNG,4,4325.00,349144.00,"26,7","1 789,00",3863.00,2009
KEP. BANGKA BELITUNG,4,-,5017.00,"27,3","1 866,00",-,2009
KEP. RIAU,4,-,238.00,"26,9","2 739,00",-,2009
DKI JAKARTA,4,-,1215.00,"28,3","1 973,00",-,2009
JAWA BARAT,4,13978.00,937373.00,"23,4","2 098,00",16195.00,2009
JAWA TENGAH,4,93486.00,960768.00,"27,9","2 807,00",104352.00,2009
DI YOGYAKARTA,4,745.00,55325.00,"26,1","1 584,00",473.00,2009
JAWA TIMUR,4,71581.00,1100517.00,"28,2","1 987,00",83629.00,2009
BANTEN,4,2280.00,195809.00,"27,2","1 414,00",1911.00,2009
BALI,4,1181.00,79185.00,"27,1","1 702,00",1134.00,2009
NUSA TENGGARA BARAT,4,34536.00,236420.00,"27,4","1 440,00",33774.00,2009
NUSA TENGGARA TIMUR,4,24277.00,139943.00,"27,3","1 513,00",20447.00,2009
KALIMANTAN BARAT,4,1832.00,300906.00,"27,1","2 989,00",1309.00,2009
KALIMANTAN TENGAH,4,179.00,171428.00,"26,9","2 771,00",145.00,2009
KALIMANTAN SELATAN,4,1545.00,464581.00,"26,7","2 321,00",1598.00,2009
KALIMANTAN TIMUR,4,1133.00,88308.00,"28,4","2 163,00",1212.00,2009
KALIMANTAN UTARA,4,-,-,,,-,2009
SULAWESI UTARA,4,2123.00,61134.00,"26,6","2 884,00",2680.00,2009
SULAWESI TENGAH,4,1250.00,130879.00,"27,6",563,1014.00,2009
SULAWESI SELATAN,4,17966.00,565601.00,"27,3","2 908,00",23299.00,2009
SULAWESI TENGGARA,4,1355.00,89601.00,"27,7","1 783,00",1131.00,2009
GORONTALO,4,229.00,29062.00,"27,3","1 245,00",287.00,2009
SULAWESI BARAT,4,803.00,56056.00,"27,5","1 713,00",1093.00,2009
MALUKU,4,702.00,11281.00,"26,6","1 920,00",740.00,2009
MALUKU UTARA,4,301.00,8890.00,"27,4","2 024,00",331.00,2009
PAPUA BARAT,4,300.00,9249.00,"27,1","1 907,00",291.00,2009
PAPUA,4,605.00,27454.00,27,"2 323,00",645.00,2009
ACEH,5,3910.00,359751.00,"26,9","1 577,00",49839.00,2009
SUMATERA UTARA,5,38611.00,464256.00,"27,1","2 184,00",1007284.00,2009
SUMATERA BARAT,5,5020.00,228176.00,"25,5","4 691,00",115492.00,2009
RIAU,5,4379.00,122738.00,"27,7","3 390,00",68046.00,2009
JAMBI,5,2881.00,117336.00,"27,1","2 299,00",39355.00,2009
SUMATERA SELATAN,5,10844.00,611072.00,"27,4","2 389,00",166890.00,2009
BENGKULU,5,3199.00,89614.00,"26,5","3 850,00",37311.00,2009
LAMPUNG,5,309047.00,349144.00,"26,7","1 789,00",7569178.00,2009
KEP. BANGKA BELITUNG,5,1635.00,5017.00,"27,3","1 866,00",23332.00,2009
KEP. RIAU,5,868.00,238.00,"26,9","2 739,00",9180.00,2009
DKI JAKARTA,5,26.00,1215.00,"28,3","1 973,00",305.00,2009
JAWA BARAT,5,110827.00,937373.00,"23,4","2 098,00",2086187.00,2009
JAWA TENGAH,5,190851.00,960768.00,"27,9","2 807,00",3676809.00,2009
DI YOGYAKARTA,5,63275.00,55325.00,"26,1","1 584,00",1047684.00,2009
JAWA TIMUR,5,207507.00,1100517.00,"28,2","1 987,00",3222637.00,2009
BANTEN,5,7407.00,195809.00,"27,2","1 414,00",105621.00,2009
BALI,5,11088.00,79185.00,"27,1","1 702,00",171456.00,2009
NUSA TENGGARA BARAT,5,6514.00,236420.00,"27,4","1 440,00",85062.00,2009
NUSA TENGGARA TIMUR,5,89154.00,139943.00,"27,3","1 513,00",913053.00,2009
KALIMANTAN BARAT,5,11524.00,300906.00,"27,1","2 989,00",166584.00,2009
KALIMANTAN TENGAH,5,6378.00,171428.00,"26,9","2 771,00",74670.00,2009
KALIMANTAN SELATAN,5,8189.00,464581.00,"26,7","2 321,00",121656.00,2009
KALIMANTAN TIMUR,5,7681.00,88308.00,"28,4","2 163,00",125714.00,2009
KALIMANTAN UTARA,5,-,-,,,-,2009
SULAWESI UTARA,5,5907.00,61134.00,"26,6","2 884,00",77206.00,2009
SULAWESI TENGAH,5,4422.00,130879.00,"27,6",563,82294.00,2009
SULAWESI SELATAN,5,26944.00,565601.00,"27,3","2 908,00",434862.00,2009
SULAWESI TENGGARA,5,12353.00,89601.00,"27,7","1 783,00",226927.00,2009
GORONTALO,5,601.00,29062.00,"27,3","1 245,00",7117.00,2009
SULAWESI BARAT,5,2852.00,56056.00,"27,5","1 713,00",47781.00,2009
MALUKU,5,8815.00,11281.00,"26,6","1 920,00",124442.00,2009
MALUKU UTARA,5,8806.00,8890.00,"27,4","2 024,00",106443.00,2009
PAPUA BARAT,5,1105.00,9249.00,"27,1","1 907,00",12228.00,2009
PAPUA,5,3046.00,27454.00,27,"2 323,00",36500.00,2009
ACEH,6,1519.00,359751.00,"26,9","1 577,00",15298.00,2009
SUMATERA UTARA,6,12359.00,464256.00,"27,1","2 184,00",140138.00,2009
SUMATERA BARAT,6,4153.00,228176.00,"25,5","4 691,00",77476.00,2009
RIAU,6,1230.00,122738.00,"27,7","3 390,00",9736.00,2009
JAMBI,6,2129.00,117336.00,"27,1","2 299,00",20614.00,2009
SUMATERA SELATAN,6,2973.00,611072.00,"27,4","2 389,00",20800.00,2009
BENGKULU,6,2197.00,89614.00,"26,5","3 850,00",20930.00,2009
LAMPUNG,6,4626.00,349144.00,"26,7","1 789,00",45041.00,2009
KEP. BANGKA BELITUNG,6,600.00,5017.00,"27,3","1 866,00",4828.00,2009
KEP. RIAU,6,185.00,238.00,"26,9","2 739,00",1427.00,2009
DKI JAKARTA,6,-,1215.00,"28,3","1 973,00",-,2009
JAWA BARAT,6,33387.00,937373.00,"23,4","2 098,00",469646.00,2009
JAWA TENGAH,6,8767.00,960768.00,"27,9","2 807,00",147083.00,2009
DI YOGYAKARTA,6,574.00,55325.00,"26,1","1 584,00",6687.00,2009
JAWA TIMUR,6,16203.00,1100517.00,"28,2","1 987,00",162607.00,2009
BANTEN,6,2942.00,195809.00,"27,2","1 414,00",34549.00,2009
BALI,6,6285.00,79185.00,"27,1","1 702,00",78983.00,2009
NUSA TENGGARA BARAT,6,969.00,236420.00,"27,4","1 440,00",11276.00,2009
NUSA TENGGARA TIMUR,6,12902.00,139943.00,"27,3","1 513,00",103635.00,2009
KALIMANTAN BARAT,6,1519.00,300906.00,"27,1","2 989,00",11735.00,2009
KALIMANTAN TENGAH,6,1537.00,171428.00,"26,9","2 771,00",10763.00,2009
KALIMANTAN SELATAN,6,2617.00,464581.00,"26,7","2 321,00",29968.00,2009
KALIMANTAN TIMUR,6,3439.00,88308.00,"28,4","2 163,00",31947.00,2009
KALIMANTAN UTARA,6,-,-,,,-,2009
SULAWESI UTARA,6,5430.00,61134.00,"26,6","2 884,00",53121.00,2009
SULAWESI TENGAH,6,2815.00,130879.00,"27,6",563,29821.00,2009
SULAWESI SELATAN,6,5370.00,565601.00,"27,3","2 908,00",68372.00,2009
SULAWESI TENGGARA,6,3183.00,89601.00,"27,7","1 783,00",25577.00,2009
GORONTALO,6,358.00,29062.00,"27,3","1 245,00",3456.00,2009
SULAWESI BARAT,6,1430.00,56056.00,"27,5","1 713,00",15756.00,2009
MALUKU,6,2612.00,11281.00,"26,6","1 920,00",22338.00,2009
MALUKU UTARA,6,3492.00,8890.00,"27,4","2 024,00",30381.00,2009
PAPUA BARAT,6,1044.00,9249.00,"27,1","1 907,00",10599.00,2009
PAPUA,6,35028.00,27454.00,27,"2 323,00",343325.00,2009
ACEH,0,352281.00,313649.00,"27,1","1 986,00",1582393.00,2010
SUMATERA UTARA,0,754674.00,468724.00,-,-,3582302.00,2010
SUMATERA BARAT,0,460497.00,229693.00,"25,8","5 228,00",2211248.00,2010
RIAU,0,156088.00,115961.00,"27,7","3 390,00",574864.00,2010
JAMBI,0,153897.00,112434.00,"27,1","3 207,00",628828.00,2010
SUMATERA SELATAN,0,769478.00,611386.00,-,-,3272451.00,2010
BENGKULU,0,133629.00,92976.00,"26,8","3 822,00",516869.00,2010
LAMPUNG,0,590608.00,345437.00,"26,7","2 710,00",2807676.00,2010
KEP. BANGKA BELITUNG,0,8180.00,4056.00,27,"3 444,00",22259.00,2010
KEP. RIAU,0,396.00,442.00,27,"3 283,00",1246.00,2010
DKI JAKARTA,0,2015.00,1312.00,28,"2 405,00",11164.00,2010
JAWA BARAT,0,2037657.00,930268.00,-,-,11737070.00,2010
JAWA TENGAH,0,1801397.00,962471.00,"27,9","3 228,00",10110830.00,2010
DI YOGYAKARTA,0,147058.00,55523.00,-,-,823887.00,2010
JAWA TIMUR,0,1963983.00,1107276.00,-,-,11643773.00,2010
BANTEN,0,406411.00,196744.00,"27,1","2 136,00",2048047.00,2010
BALI,0,152190.00,81425.00,"27,6","2 525,00",869161.00,2010
NUSA TENGGARA BARAT,0,374284.00,238619.00,-,"2 643,00",1774499.00,2010
NUSA TENGGARA TIMUR,0,174674.00,142479.00,-,-,555493.00,2010
KALIMANTAN BARAT,0,428461.00,307016.00,"27,1","3 518,00",1343888.00,2010
KALIMANTAN TENGAH,0,247577.00,175633.00,"23,7","4 508,00",650416.00,2010
KALIMANTAN SELATAN,0,471166.00,436318.00,-,-,1842089.00,2010
KALIMANTAN TIMUR,0,150031.00,82796.00,"27,1","2 988,00",588879.00,2010
KALIMANTAN UTARA,0,-,-,,,-,2010
SULAWESI UTARA,0,119771.00,52789.00,"26,3","3 786,00",584030.00,2010
SULAWESI TENGAH,0,208628.00,136241.00,"27,7",859,957108.00,2010
SULAWESI SELATAN,0,886354.00,572089.00,"27,2","3 744,00",4382443.00,2010
SULAWESI TENGGARA,0,107751.00,83356.00,-,"2 859,00",454644.00,2010
GORONTALO,0,45937.00,29566.00,-,-,253563.00,2010
SULAWESI BARAT,0,75923.00,59476.00,"27,6","2 559,00",362900.00,2010
MALUKU,0,20233.00,11451.00,"26,9","3 932,00",83109.00,2010
MALUKU UTARA,0,16071.00,9478.00,"27,1","2 663,00",55401.00,2010
PAPUA BARAT,0,9464.00,7711.00,"27,3","1 579,00",34254.00,2010
PAPUA,0,26686.00,27757.00,27,"2 323,00",102610.00,2010
ACEH,1,43885.00,313649.00,"27,1","1 986,00",167090.00,2010
SUMATERA UTARA,1,274822.00,468724.00,-,-,1377718.00,2010
SUMATERA BARAT,1,59801.00,229693.00,"25,8","5 228,00",354262.00,2010
RIAU,1,18044.00,115961.00,"27,7","3 390,00",41862.00,2010
JAMBI,1,8280.00,112434.00,"27,1","3 207,00",30691.00,2010
SUMATERA SELATAN,1,33769.00,611386.00,-,-,125796.00,2010
BENGKULU,1,20516.00,92976.00,"26,8","3 822,00",74331.00,2010
LAMPUNG,1,447509.00,345437.00,"26,7","2 710,00",2126571.00,2010
KEP. BANGKA BELITUNG,1,341.00,4056.00,27,"3 444,00",1055.00,2010
KEP. RIAU,1,454.00,442.00,27,"3 283,00",961.00,2010
DKI JAKARTA,1,15.00,1312.00,28,"2 405,00",31.00,2010
JAWA BARAT,1,153778.00,930268.00,-,-,923962.00,2010
JAWA TENGAH,1,631816.00,962471.00,"27,9","3 228,00",3058710.00,2010
DI YOGYAKARTA,1,86837.00,55523.00,-,-,345576.00,2010
JAWA TIMUR,1,1257721.00,1107276.00,-,-,5587318.00,2010
BANTEN,1,8697.00,196744.00,"27,1","2 136,00",28557.00,2010
BALI,1,26706.00,81425.00,"27,6","2 525,00",66355.00,2010
NUSA TENGGARA BARAT,1,61593.00,238619.00,-,"2 643,00",249005.00,2010
NUSA TENGGARA TIMUR,1,244583.00,142479.00,-,-,653620.00,2010
KALIMANTAN BARAT,1,45014.00,307016.00,"27,1","3 518,00",168273.00,2010
KALIMANTAN TENGAH,1,3247.00,175633.00,"23,7","4 508,00",9345.00,2010
KALIMANTAN SELATAN,1,22584.00,436318.00,-,-,116449.00,2010
KALIMANTAN TIMUR,1,4693.00,82796.00,"27,1","2 988,00",11993.00,2010
KALIMANTAN UTARA,1,-,-,,,-,2010
SULAWESI UTARA,1,121930.00,52789.00,"26,3","3 786,00",446144.00,2010
SULAWESI TENGAH,1,42747.00,136241.00,"27,7",859,162306.00,2010
SULAWESI SELATAN,1,303375.00,572089.00,"27,2","3 744,00",1343044.00,2010
SULAWESI TENGGARA,1,29607.00,83356.00,-,"2 859,00",74840.00,2010
GORONTALO,1,143833.00,29566.00,-,-,679167.00,2010
SULAWESI BARAT,1,13308.00,59476.00,"27,6","2 559,00",58020.00,2010
MALUKU,1,6293.00,11451.00,"26,9","3 932,00",15273.00,2010
MALUKU UTARA,1,10813.00,9478.00,"27,1","2 663,00",20546.00,2010
PAPUA BARAT,1,1162.00,7711.00,"27,3","1 579,00",1931.00,2010
PAPUA,1,3903.00,27757.00,27,"2 323,00",6834.00,2010
ACEH,2,37469.00,313649.00,"27,1","1 986,00",53347.00,2010
SUMATERA UTARA,2,7803.00,468724.00,-,-,9439.00,2010
SUMATERA BARAT,2,1113.00,229693.00,"25,8","5 228,00",1834.00,2010
RIAU,2,5252.00,115961.00,"27,7","3 390,00",5830.00,2010
JAMBI,2,4243.00,112434.00,"27,1","3 207,00",5320.00,2010
SUMATERA SELATAN,2,7532.00,611386.00,-,-,11664.00,2010
BENGKULU,2,2654.00,92976.00,"26,8","3 822,00",2719.00,2010
LAMPUNG,2,6195.00,345437.00,"26,7","2 710,00",7325.00,2010
KEP. BANGKA BELITUNG,2,53.00,4056.00,27,"3 444,00",52.00,2010
KEP. RIAU,2,6.00,442.00,27,"3 283,00",6.00,2010
DKI JAKARTA,2,-,1312.00,28,"2 405,00",-,2010
JAWA BARAT,2,36700.00,930268.00,-,-,55823.00,2010
JAWA TENGAH,2,114070.00,962471.00,"27,9","3 228,00",187992.00,2010
DI YOGYAKARTA,2,33572.00,55523.00,-,-,38244.00,2010
JAWA TIMUR,2,246894.00,1107276.00,-,-,339491.00,2010
BANTEN,2,8358.00,196744.00,"27,1","2 136,00",11662.00,2010
BALI,2,4827.00,81425.00,"27,6","2 525,00",5554.00,2010
NUSA TENGGARA BARAT,2,86649.00,238619.00,-,"2 643,00",93122.00,2010
NUSA TENGGARA TIMUR,2,1758.00,142479.00,-,-,1780.00,2010
KALIMANTAN BARAT,2,2541.00,307016.00,"27,1","3 518,00",3477.00,2010
KALIMANTAN TENGAH,2,2397.00,175633.00,"23,7","4 508,00",2764.00,2010
KALIMANTAN SELATAN,2,3154.00,436318.00,-,-,3809.00,2010
KALIMANTAN TIMUR,2,1679.00,82796.00,"27,1","2 988,00",2204.00,2010
KALIMANTAN UTARA,2,-,-,,,-,2010
SULAWESI UTARA,2,5739.00,52789.00,"26,3","3 786,00",7627.00,2010
SULAWESI TENGAH,2,2786.00,136241.00,"27,7",859,3555.00,2010
SULAWESI SELATAN,2,23641.00,572089.00,"27,2","3 744,00",35711.00,2010
SULAWESI TENGGARA,2,2661.00,83356.00,-,"2 859,00",3203.00,2010
GORONTALO,2,2885.00,29566.00,-,-,3403.00,2010
SULAWESI BARAT,2,2083.00,59476.00,"27,6","2 559,00",3195.00,2010
MALUKU,2,988.00,11451.00,"26,9","3 932,00",1183.00,2010
MALUKU UTARA,2,787.00,9478.00,"27,1","2 663,00",944.00,2010
PAPUA BARAT,2,571.00,7711.00,"27,3","1 579,00",600.00,2010
PAPUA,2,3763.00,27757.00,27,"2 323,00",4152.00,2010
ACEH,3,5579.00,313649.00,"27,1","1 986,00",7063.00,2010
SUMATERA UTARA,3,14520.00,468724.00,-,-,16449.00,2010
SUMATERA BARAT,3,7280.00,229693.00,"25,8","5 228,00",9162.00,2010
RIAU,3,2188.00,115961.00,"27,7","3 390,00",2007.00,2010
JAMBI,3,1468.00,112434.00,"27,1","3 207,00",1782.00,2010
SUMATERA SELATAN,3,4632.00,611386.00,-,-,6109.00,2010
BENGKULU,3,7030.00,92976.00,"26,8","3 822,00",7253.00,2010
LAMPUNG,3,13967.00,345437.00,"26,7","2 710,00",17617.00,2010
KEP. BANGKA BELITUNG,3,360.00,4056.00,27,"3 444,00",358.00,2010
KEP. RIAU,3,156.00,442.00,27,"3 283,00",144.00,2010
DKI JAKARTA,3,9.00,1312.00,28,"2 405,00",10.00,2010
JAWA BARAT,3,67901.00,930268.00,-,-,99058.00,2010
JAWA TENGAH,3,119565.00,962471.00,"27,9","3 228,00",161222.00,2010
DI YOGYAKARTA,3,58780.00,55523.00,-,-,58918.00,2010
JAWA TIMUR,3,172550.00,1107276.00,-,-,207796.00,2010
BANTEN,3,13862.00,196744.00,"27,1","2 136,00",20381.00,2010
BALI,3,10397.00,81425.00,"27,6","2 525,00",11582.00,2010
NUSA TENGGARA BARAT,3,25044.00,238619.00,-,"2 643,00",33666.00,2010
NUSA TENGGARA TIMUR,3,16574.00,142479.00,-,-,20069.00,2010
KALIMANTAN BARAT,3,1863.00,307016.00,"27,1","3 518,00",2125.00,2010
KALIMANTAN TENGAH,3,924.00,175633.00,"23,7","4 508,00",1032.00,2010
KALIMANTAN SELATAN,3,12270.00,436318.00,-,-,14445.00,2010
KALIMANTAN TIMUR,3,2091.00,82796.00,"27,1","2 988,00",2468.00,2010
KALIMANTAN UTARA,3,-,-,,,-,2010
SULAWESI UTARA,3,6611.00,52789.00,"26,3","3 786,00",8671.00,2010
SULAWESI TENGAH,3,5071.00,136241.00,"27,7",859,8424.00,2010
SULAWESI SELATAN,3,30528.00,572089.00,"27,2","3 744,00",41898.00,2010
SULAWESI TENGGARA,3,6918.00,83356.00,-,"2 859,00",4942.00,2010
GORONTALO,3,1873.00,29566.00,-,-,2261.00,2010
SULAWESI BARAT,3,1439.00,59476.00,"27,6","2 559,00",2022.00,2010
MALUKU,3,2454.00,11451.00,"26,9","3 932,00",2950.00,2010
MALUKU UTARA,3,3682.00,9478.00,"27,1","2 663,00",4235.00,2010
PAPUA BARAT,3,540.00,7711.00,"27,3","1 579,00",568.00,2010
PAPUA,3,2437.00,27757.00,27,"2 323,00",2541.00,2010
ACEH,4,1097.00,313649.00,"27,1","1 986,00",1164.00,2010
SUMATERA UTARA,4,3110.00,468724.00,-,-,3345.00,2010
SUMATERA BARAT,4,965.00,229693.00,"25,8","5 228,00",1134.00,2010
RIAU,4,1140.00,115961.00,"27,7","3 390,00",1228.00,2010
JAMBI,4,415.00,112434.00,"27,1","3 207,00",462.00,2010
SUMATERA SELATAN,4,2432.00,611386.00,-,-,3280.00,2010
BENGKULU,4,1438.00,92976.00,"26,8","3 822,00",1392.00,2010
LAMPUNG,4,3935.00,345437.00,"26,7","2 710,00",3524.00,2010
KEP. BANGKA BELITUNG,4,-,4056.00,27,"3 444,00",-,2010
KEP. RIAU,4,-,442.00,27,"3 283,00",-,2010
DKI JAKARTA,4,-,1312.00,28,"2 405,00",-,2010
JAWA BARAT,4,12866.00,930268.00,-,-,14624.00,2010
JAWA TENGAH,4,65901.00,962471.00,"27,9","3 228,00",77803.00,2010
DI YOGYAKARTA,4,1024.00,55523.00,-,-,610.00,2010
JAWA TIMUR,4,67868.00,1107276.00,-,-,79878.00,2010
BANTEN,4,1652.00,196744.00,"27,1","2 136,00",1359.00,2010
BALI,4,764.00,81425.00,"27,6","2 525,00",754.00,2010
NUSA TENGGARA BARAT,4,45511.00,238619.00,-,"2 643,00",50012.00,2010
NUSA TENGGARA TIMUR,4,15767.00,142479.00,-,-,13462.00,2010
KALIMANTAN BARAT,4,1821.00,307016.00,"27,1","3 518,00",1310.00,2010
KALIMANTAN TENGAH,4,206.00,175633.00,"23,7","4 508,00",170.00,2010
KALIMANTAN SELATAN,4,1292.00,436318.00,-,-,1337.00,2010
KALIMANTAN TIMUR,4,910.00,82796.00,"27,1","2 988,00",932.00,2010
KALIMANTAN UTARA,4,-,-,,,-,2010
SULAWESI UTARA,4,1715.00,52789.00,"26,3","3 786,00",2184.00,2010
SULAWESI TENGAH,4,1254.00,136241.00,"27,7",859,1031.00,2010
SULAWESI SELATAN,4,21009.00,572089.00,"27,2","3 744,00",26458.00,2010
SULAWESI TENGGARA,4,1119.00,83356.00,-,"2 859,00",900.00,2010
GORONTALO,4,226.00,29566.00,-,-,281.00,2010
SULAWESI BARAT,4,614.00,59476.00,"27,6","2 559,00",839.00,2010
MALUKU,4,839.00,11451.00,"26,9","3 932,00",888.00,2010
MALUKU UTARA,4,272.00,9478.00,"27,1","2 663,00",299.00,2010
PAPUA BARAT,4,238.00,7711.00,"27,3","1 579,00",245.00,2010
PAPUA,4,757.00,27757.00,27,"2 323,00",800.00,2010
ACEH,5,3084.00,313649.00,"27,1","1 986,00",43810.00,2010
SUMATERA UTARA,5,32402.00,468724.00,-,-,905571.00,2010
SUMATERA BARAT,5,5522.00,229693.00,"25,8","5 228,00",193188.00,2010
RIAU,5,4237.00,115961.00,"27,7","3 390,00",75904.00,2010
JAMBI,5,2895.00,112434.00,"27,1","3 207,00",39564.00,2010
SUMATERA SELATAN,5,10184.00,611386.00,-,-,159929.00,2010
BENGKULU,5,3714.00,92976.00,"26,8","3 822,00",43847.00,2010
LAMPUNG,5,346217.00,345437.00,"26,7","2 710,00",8637594.00,2010
KEP. BANGKA BELITUNG,5,1461.00,4056.00,27,"3 444,00",21427.00,2010
KEP. RIAU,5,776.00,442.00,27,"3 283,00",8397.00,2010
DKI JAKARTA,5,25.00,1312.00,28,"2 405,00",290.00,2010
JAWA BARAT,5,105023.00,930268.00,-,-,2014402.00,2010
JAWA TENGAH,5,188080.00,962471.00,"27,9","3 228,00",3876242.00,2010
DI YOGYAKARTA,5,62563.00,55523.00,-,-,1114665.00,2010
JAWA TIMUR,5,188158.00,1107276.00,-,-,3667058.00,2010
BANTEN,5,8237.00,196744.00,"27,1","2 136,00",118979.00,2010
BALI,5,10809.00,81425.00,"27,6","2 525,00",163746.00,2010
NUSA TENGGARA BARAT,5,5352.00,238619.00,-,"2 643,00",70606.00,2010
NUSA TENGGARA TIMUR,5,102460.00,142479.00,-,-,1032538.00,2010
KALIMANTAN BARAT,5,11913.00,307016.00,"27,1","3 518,00",177807.00,2010
KALIMANTAN TENGAH,5,6488.00,175633.00,"23,7","4 508,00",76669.00,2010
KALIMANTAN SELATAN,5,5189.00,436318.00,-,-,76202.00,2010
KALIMANTAN TIMUR,5,6554.00,82796.00,"27,1","2 988,00",110061.00,2010
KALIMANTAN UTARA,5,-,-,,,-,2010
SULAWESI UTARA,5,6424.00,52789.00,"26,3","3 786,00",84084.00,2010
SULAWESI TENGAH,5,3872.00,136241.00,"27,7",859,74128.00,2010
SULAWESI SELATAN,5,25010.00,572089.00,"27,2","3 744,00",601437.00,2010
SULAWESI TENGGARA,5,9556.00,83356.00,-,"2 859,00",163350.00,2010
GORONTALO,5,512.00,29566.00,-,-,6171.00,2010
SULAWESI BARAT,5,2735.00,59476.00,"27,6","2 559,00",46368.00,2010
MALUKU,5,9227.00,11451.00,"26,9","3 932,00",144407.00,2010
MALUKU UTARA,5,9011.00,9478.00,"27,1","2 663,00",109033.00,2010
PAPUA BARAT,5,2369.00,7711.00,"27,3","1 579,00",25113.00,2010
PAPUA,5,2988.00,27757.00,27,"2 323,00",35531.00,2010
ACEH,6,1101.00,313649.00,"27,1","1 986,00",11095.00,2010
SUMATERA UTARA,6,14874.00,468724.00,-,-,179388.00,2010
SUMATERA BARAT,6,4380.00,229693.00,"25,8","5 228,00",104302.00,2010
RIAU,6,1252.00,115961.00,"27,7","3 390,00",9967.00,2010
JAMBI,6,2197.00,112434.00,"27,1","3 207,00",21156.00,2010
SUMATERA SELATAN,6,3268.00,611386.00,-,-,22839.00,2010
BENGKULU,6,2900.00,92976.00,"26,8","3 822,00",27840.00,2010
LAMPUNG,6,4612.00,345437.00,"26,7","2 710,00",44920.00,2010
KEP. BANGKA BELITUNG,6,483.00,4056.00,27,"3 444,00",3751.00,2010
KEP. RIAU,6,232.00,442.00,27,"3 283,00",1790.12,2010
DKI JAKARTA,6,-,1312.00,28,"2 405,00",-,2010
JAWA BARAT,6,30073.00,930268.00,-,-,430998.00,2010
JAWA TENGAH,6,7965.00,962471.00,"27,9","3 228,00",137723.00,2010
DI YOGYAKARTA,6,599.00,55523.00,-,-,6484.00,2010
JAWA TIMUR,6,14981.00,1107276.00,-,-,141103.00,2010
BANTEN,6,3403.00,196744.00,"27,1","2 136,00",40579.00,2010
BALI,6,5707.00,81425.00,"27,6","2 525,00",70318.00,2010
NUSA TENGGARA BARAT,6,1123.00,238619.00,-,"2 643,00",13134.00,2010
NUSA TENGGARA TIMUR,6,14963.00,142479.00,-,-,121284.00,2010
KALIMANTAN BARAT,6,1876.00,307016.00,"27,1","3 518,00",14959.00,2010
KALIMANTAN TENGAH,6,1350.00,175633.00,"23,7","4 508,00",9583.00,2010
KALIMANTAN SELATAN,6,2257.00,436318.00,-,-,25007.00,2010
KALIMANTAN TIMUR,6,2618.00,82796.00,"27,1","2 988,00",25156.00,2010
KALIMANTAN UTARA,6,-,-,,,-,2010
SULAWESI UTARA,6,5298.00,52789.00,"26,3","3 786,00",51838.00,2010
SULAWESI TENGAH,6,2462.00,136241.00,"27,7",859,26332.00,2010
SULAWESI SELATAN,6,5058.00,572089.00,"27,2","3 744,00",57513.00,2010
SULAWESI TENGGARA,6,3028.00,83356.00,-,"2 859,00",25304.00,2010
GORONTALO,6,303.00,29566.00,-,-,2926.00,2010
SULAWESI BARAT,6,1395.00,59476.00,"27,6","2 559,00",15666.00,2010
MALUKU,6,2426.00,11451.00,"26,9","3 932,00",20734.00,2010
MALUKU UTARA,6,3180.00,9478.00,"27,1","2 663,00",27666.00,2010
PAPUA BARAT,6,1039.00,7711.00,"27,3","1 579,00",10557.00,2010
PAPUA,6,34670.00,27757.00,27,"2 323,00",349134.00,2010
ACEH,0,380686.00,307556.00,"27,1","1 268,00",1772962.00,2011
SUMATERA UTARA,0,757547.00,467138.00,"27,2","2 042,00",3607403.00,2011
SUMATERA BARAT,0,461709.00,231463.00,,,2279602.00,2011
RIAU,0,145242.00,115897.00,27,"2 405,00",535788.00,2011
JAMBI,0,157441.00,113757.00,"26,9","2 295,00",646641.00,2011
SUMATERA SELATAN,0,784820.00,629355.00,"27,3","2 593,00",3384670.00,2011
BENGKULU,0,127934.00,90217.00,,,502552.00,2011
LAMPUNG,0,606973.00,350949.00,"26,8","1 568,00",2940795.00,2011
KEP. BANGKA BELITUNG,0,5299.00,5932.00,"27,4","2 921,00",15211.00,2011
KEP. RIAU,0,387.00,393.00,"26,8","3 893,00",1223.00,2011
DKI JAKARTA,0,1723.00,1098.00,"28,5","1 274,00",9516.00,2011
JAWA BARAT,0,1964466.00,930507.00,"23,4","1 789,00",11633891.00,2011
JAWA TENGAH,0,1724246.00,960970.00,"27,7","1 879,00",9391959.00,2011
